NUM	SMOL RUNICODE	ALT DESCRIPTION	"LANG FAMILY
"	UNICODE	"HTML ENTITIES

"
0027	∣∣	small letter m	NewMorse+		"&smid;&smid;"
0028	!	small letter n	NewMorse+	U+0021	"&excl;"
0029	¦∣	small letter o	NewMorse+		"&brvbar;&smid;"
0030	¡!	small letter p	NewMorse+		"&iexcl;&excl;"
0031	¦¡	small letter q	NewMorse+		"&brvbar;&iexcl;"
0032	¡˙	small letter r	NewMorse+		"&iexcl;&dot;"
0033	:˙	small letter s	NewMorse+		"&colon;&dot;"
0034	∣	small letter t	NewMorse+	U+2223	"&smid;"
0035	:∣	small letter u	NewMorse+		"&colon;&smid;"
0036	:¡	small letter v	NewMorse+		"&colon;&iexcl;"
0037	¡∣	small letter w	NewMorse+		"&iexcl;&smid;"
0038	!¡	small letter x	NewMorse+		"&excl;&iexcl;"
0039	!¦	small letter y	NewMorse+		"&excl;&brvbar;"
0040	¦:	small letter z	NewMorse+		"&brvbar;&colon;"
0041	♭	suffix, flat notes	MusicTypewriter+	U+266D	"&flat;"
0042	♯	suffix, sharp notes	MusicTypewriter+	U+266F	"&sharp;"
0043	𝕗𝕞	mute duration with prefixed fraction [variable music-parameter]. Using non-binding format: fraction.variable(t) fraction.variable(v).glyph1 (...) fraction.variable(m)	MusicTypewriter+		"&fopf;&mopf;"
0044	𝕗𝕥	tact time with prefixed fraction [variable music-parameter]. Using non-binding format: fraction.variable(t) fraction.variable(v).glyph1 (...) fraction.variable(m)	MusicTypewriter+		"&fopf;&topf;"
0045	𝕧𝕟	notation with prefixed value [variable music-parameter]. Using non-binding format: fraction.variable(t) fraction.variable(v).glyph1 (...) fraction.variable(m)	MusicTypewriter+		"&vopf;&nopf;"
0046	:‖	repeat from end	MusicTypewriter+		"&colon;&Vert;"
0047	‖:	repeat from start	MusicTypewriter+		"&Vert;&colon;"
0048	⋮	dotted vertical barline [intermediate tact]	MusicTypewriter+	U+22EE	"&vellip;"
0049	|	vertical barline [main tact]	MusicTypewriter+	U+007C	"&vert;"
0050	𝕧(𝕟+𝕟)	dual accord with prefixed value	MusicTypewriter+		"&vopf;&lpar;&nopf;&plus;&nopf;&rpar;"
0051	…	wait/to be continued	Ideogrammar	U+2026	"&hellip;"
0052	¡⋮	wait/validation [traffic sign]	NewMorse+		"&iexcl;&vellip;"
0053	¡	interrupt	Ideogrammar	U+00A1	"&iexcl;"
0054	∣⋮∣	interrupt [traffic sign]	NewMorse+		"&smid;&vellip;&smid;"
0055	: :	repeat [traffic sign]	NewMorse+		"&colon; &colon;"
0056	∞	repeat	Ideogrammar	U+221E	"&infin;"
0057	¿	errancy	Ideogrammar	U+00BF	"&iquest;"
0058	⋮⋮:	errancy [traffic sign]	NewMorse+		"&vellip;&vellip;&colon;"
0059	─	pause	Ideogrammar		"&HorizontalLine;"
0060	⋱	pause [traffic sign]	NewMorse+	U+22F1	"&dtdot;"
0061	¦¦¦	6-dah preceded ALT keying [grammar sign]	NewMorse+		"&brvbar;&brvbar;&brvbar;"
0062	⋮⋮⋮	9-dit preceded ALT-SHIFT keying [grammar sign]	NewMorse+		"&vellip;&vellip;&vellip;"
0063	ª	prefixed Alpha [initial female pronoun]	Ideogrammar	U+00AA	"&ordf;"
0064	º	prefixed Omega [initial male pronoun]	Ideogrammar	U+00BA	"&ordm;"
0065	¶	pilcrow mark	Ideogrammar	U+00B6	"&para;"
0066	○/○	roger	Ideogrammar		"&cir;&sol;&cir;"
0067	⋮!	roger [traffic sign]	NewMorse+		"&vellip;&excl;"
0068	</	start a message	Ideogrammar		"&lt;&sol;"
0069	/>	end a message	Ideogrammar		"&sol;&gt;"
0070	!!∣	start a message [traffic sign]	NewMorse+		"&excl;&excl;&smid;"
0071	¡¡˙	end a message [traffic sign]	NewMorse+		"&iexcl;&iexcl;&dot;"
0072	:−)	feel lucky (standard smile)	Emoticons		"&colon;&minus;&rpar;"
0073	:−))	very lucky	Emoticons		"&colon;&minus;&rpar;&rpar;"
0074	𝕥𝕙𝕩:−)*)	to be shining with gratitude	Emoticons		"&topf;&hopf;&xopf;&colon;&minus;&rpar;&ast;&rpar;"
0075	:−))))	entirely happy	Emoticons		"&colon;&minus;&rpar;&rpar;&rpar;&rpar;"
0076	:−))!	very lucky chance	Ideogrammar		"&colon;&minus;&rpar;&rpar;&excl;"
0077	:−𝔻	broad smile	Emoticons		"&colon;&minus;&Dopf;"
0078	:−𝔻𝕡	ravenous	Ideogrammar		"&colon;&minus;&Dopf;&popf;"
0079	:−𝔼)	toothy grin	Ideogrammar		"&colon;&minus;&Eopf;&rpar;"
0080	:′−)	to cry for joy	Emoticons		"&colon;&prime;&minus;&rpar;"
0081	:.−)..	to cheer for joy	Emoticons		"&colon;&period;&minus;&rpar;&period;&period;"
0082	:−)..	drooling	Ideogrammar		"&colon;&minus;&rpar;&period;&period;"
0083	":;−)"	tearful eyes	Ideogrammar		"&colon;&semi;&minus;&rpar;"
0084	":;−("	watering eyes	Ideogrammar		"&colon;&semi;&minus;&lpar;"
0085	":;−())𝕆(("	watering eyes from chopped onions	Ideogrammar		"&colon;&semi;&minus;&lpar;&rpar;&rpar;&Oopf;&lpar;&lpar"
0086	:..−)	overjoyed	Emoticons		"&colon;&period;&period;&minus;&rpar;"
0087	:..−)𝕆𝕠	crocodile tears	Ideogrammar		"&colon;&period;&period;&minus;&rpar;&Oopf;&oopf;"
0088	:′−(	to be a thorn in someone's eyes	Ideogrammar		"&colon;&prime;&minus;&lpar;"
0089	://	prefix: hyper-/cyber- [situational context at the subject level], e.g. Hypercommunication, Cyberspace	Wellish		"&colon;&sol;&sol;"
0090	,−)	to twinkle with one eye	Emoticons		"&comma;&minus;&rpar;"
0091	";−)"	to twinkle at somebody	Emoticons		"&semi;&minus;&rpar;"
0092	";−/"	ironic smile	Ideogrammar		"&semi;&minus;&sol;"
0093	:−..(	one's runny nose	Ideogrammar		"&colon;&minus;&period;&period;&lpar;"
0094	:−*	kiss (Upps!)	Emoticons		"&colon;&minus;&ast;"
0095	:−**	kiss (Upps, I did it again!)	Ideogrammar		"&colon;&minus;&ast;&ast;"
0096	:−𝕡	outstrechted tongue	Emoticons		"&colon;&minus;&popf;"
0097	:−*𝕢−:	French kissing	Ideogrammar		"&colon;&minus;&ast;&qopf;&minus;&colon;"
0098	:−𝕡..	spitting	Emoticons		"&colon;&minus;&popf;&period;&period;"
0099	:−<	frustrated	Emoticons		"&colon;&minus;&lt;"
0100	:−>	enthusiastic	Ideogrammar		"&colon;&minus;&gt;"
0101	:−&	stunned	Emoticons		"&colon;&minus;&amp;"
0102	:−#	to keep a secret (sealed lips)	Emoticons		"&colon;&minus;&num;"
0103	:−/	with doubt growing scepticism	Emoticons		"&colon;&minus;&sol;"
0104	′:−/	to raise an eyebrow	Emoticons		"&prime;&colon;&minus;&sol;"
0105	′:−//	to be suspicious of sb./sth.	Ideogrammar		"&prime;&colon;&minus;&sol;&sol;"
0106	!′:−//	suspicious mind	Ideogrammar		"&excl;&prime;&colon;&minus;&sol;&sol;"
0107	′:−//#	to behave secretively	Ideogrammar		"&prime;&colon;&minus;&sol;&sol;&num;"
0108	:−//	to voice doubts	Emoticons		"&colon;&minus;&sol;&sol;"
0109	:−(	sad	Emoticons		"&colon;&minus;&lpar;"
0110	:−((	very sad	Emoticons		"&colon;&minus;&lpar;&lpar;"
0111	:−(((	lousy	Emoticons		"&colon;&minus;&lpar;&lpar;&lpar;"
0112	:′−(	to begin to cry	Emoticons		"&colon;&prime;&minus;&lpar;"
0113	..:′−(	to begin to sweat	Emoticons		"&period;&period;&colon;&prime;&minus;&lpar;"
0114	:.−(	to weep a tear	Emoticons		"&colon;&period;&minus;&lpar;"
0115	:−−(	weeping	Ideogrammar		"&colon;&minus;&minus;&lpar;"
0116	:─(	insulted	Ideogrammar		"&colon;&HorizontalLine;&lpar;"
0117	∷−()−−:	someone looks pitiful	Ideogrammar		"&Colon;&minus;&lpar;&rpar;&minus;&minus;&colon;"
0118	∷−(	to sob	Ideogrammar		"&Colon;&minus;&lpar;"
0119	∷−𝔻	to blubber out	Ideogrammar		"&Colon;&minus;&Dopf;"
0120	:˜−(	to howl	Emoticons		"&colon;&tilde;&minus;&lpar;"
0121	:−%	confused	Emoticons		"&colon;&minus;&percnt;"
0122	:−*:−%	this has been a negligence	Ideogrammar		"&colon;&minus;&ast;&colon;&minus;&percnt;"
0123	:..−(…	crying continuously	Emoticons		"&colon;&period;&period;&minus;&lpar;&hellip;"
0124	:..−(=	to be in tears	Ideogrammar		"&colon;&period;&period;&minus;&lpar;&equals;"
0125	 =:..−(	to end in tragedy	Ideogrammar		"&equals;&colon;&period;&period;&minus;&lpar;"
0126	:−𝕠	terrified	Emoticons		"&colon;&minus;&oopf;"
0127	!−𝕠	surprised	Ideogrammar		"&excl;&minus;&oopf;"
0128	:−|	annoyed	Ideogrammar		"&colon;&minus;&vert;"
0129	:−|=:−(	I cannot laugh about sb./sth.	Ideogrammar		"&colon;&minus;&vert;&equals;&colon;&minus;&lpar;"
0130	|𝕠|:−|	no laughing matter	Ideogrammar		"&vert;&oopf;&vert;&colon;&minus;&vert;"
0131	:−|𝕠|	somebody is laughing out loud	Emoticons		"&colon;&minus;&vert;&oopf;&vert;"
0132	>:&	fierce	Emoticons		"&gt;&colon;&amp;"
0133	>:−𝕠&	to be weirded out	Ideogrammar		"&gt;&colon;&minus;&oopf;&amp;"
0134	>:−&	to go into a huff	Ideogrammar		"&gt;&colon;&minus;&amp;"
0135	>:−&)−−:	to bellow at somebody	Ideogrammar		"&gt;&colon;&minus;&amp;&rpar;&minus;&minus;&colon;"
0136	):−)	bitter smile	Emoticons		"&rpar;&colon;&minus;&rpar;"
0137	):−>	rictus	Ideogrammar		"&rpar;&colon;&minus;&gt;"
0138	):−\|/	evil grin	Ideogrammar		"&rpar;&colon;&minus;&bsol;&vert;&sol;"
0139	:−˜)	to have a cold	Emoticons		"&colon;&minus;&tilde;&rpar;"
0140	:−𝕔	to feel uncomfortable	Emoticons		"&colon;&minus;&copf;"
0141	:−(𝕔	sour	Ideogrammar		"&colon;&minus;&lpar;&copf;"
0142	:−𝕠𝕔	to feel the consequences	Ideogrammar		"&colon;&minus;&oopf;&copf;"
0143	:−|𝕔	to vent someone's displeasure	Ideogrammar		"&colon;&minus;&vert;&copf;"
0144	(:−$	to be sick	Emoticons		"&lpar;&colon;&minus;&dollar;"
0145	(:−$<*	to get well soon (concerning to one's health)	Ideogrammar		"&lpar;&colon;&minus;&dollar;&lt;&ast;"
0146	≠<(:−$	return to a normal state of something (health, mind, economy)	Ideogrammar		"&NotEqual;&lt;&lpar;&colon;&minus;&dollar;"
0147	((:−?	Are you crazy?	Ideogrammar		"&lpar;&lpar;&colon;&minus;&quest;"
0148	+(:−$	deathly ill	Ideogrammar		"&plus;&lpar;&colon;&minus;&dollar;"
0149	(((:−§	hypochondriac [medical term]	Wellish		"&lpar;&lpar;&lpar;&colon;&minus;&sect;"
0150	+(:−$+	to die a wrechted death	Ideogrammar		"&plus;&lpar;&colon;&minus;&dollar;&plus;"
0151	$(′:−𝔻𝕡	money-hungry (should be combined with another currency according to the context)	Ideogrammar		"&dollar;&lpar;&prime;&colon;&minus;&Dopf;&popf;"
0152	>′:−$$	to arouse envy	Ideogrammar		"&gt;&prime;&colon;&minus;&dollar;&dollar;"
0153	<|𝕫:−)	Harry Potter (literary character)	Ideogrammar		"&lt;&vert;&zopf;&colon;&minus;&rpar;"
0154	<|:\|/	Voldemort (literary character)	Ideogrammar		"&lt;&vert;&colon;&bsol;&vert;&sol;"
0155	≠:−€	undue enrichment	Ideogrammar		"&NotEqual;&colon;&minus;&euro;"
0156	≠:−$	undue salary	Ideogrammar		"&NotEqual;&colon;&minus;&dollar;"
0157	≠:−§	frivolous claim	Ideogrammar		"&NotEqual;&colon;&minus;&sect;"
0158	≠:−&	unfair anger	Ideogrammar		"&NotEqual;&colon;&minus;&amp;"
0159	:−𝕧	to have a sharp tongue	Emoticons		"&colon;&minus;&vopf;"
0160	:−𝕨	to speak with a split tongue	Emoticons		"&colon;&minus;&wopf;"
0161	€*	Eurovision [situational context at the subject level]	Wellish		"&euro;&ast;"
0162	:±*€	Ode to Joy [European Anthem]	Wellish		"&colon;&PlusMinus;&ast;&euro;"
0163	*$	Starbucks	Emoticons		"&ast;&dollar;"
0164	:−)(	to gloat over something	Ideogrammar		"&colon;&minus;&rpar;&lpar;"
0165	:−(=(−:	alter ego	Ideogrammar		"&colon;&minus;&lpar;&equals;&lpar;&minus;&colon;"
0166	.−)#://	someone follows sb./sth. (on the Internet)	Wellish		"&period;&minus;&rpar;&num;&colon;&sol;&sol;"
0167	.−)@://	someone mentions sb./sth. (on the Internet)	Wellish		"&period;&minus;&rpar;&commat;&colon;&sol;&sol;"
0168	}:−)	to furrow one's brow	Emoticons		"&rbrace;&colon;&minus;&rpar;"
0169	}}:−(	frown wrinkles	Emoticons		"&rbrace;&rbrace;&colon;&minus;&lpar;"
0170	:−=!	somebody is interested in	Ideogrammar		"&colon;&minus;&equals;&excl;"
0171	:−=://!	somebody is pinterested in	Wellish		"&colon;&minus;&equals;&colon;&sol;&sol;&excl;"
0172	:−≠	indifferent	Ideogrammar		"&colon;&minus;&NotEqual;"
0173	<3	heart	Emoticons		"&lt;3"
0174	B><3	far from eye, far from heart (idiom)	Ideogrammar		"B&gt;&lt;3"
0175	:<3	to devour somebody with one's eyes	Ideogrammar		"&colon;&lt;3"
0176	>>–<3–>	Amour's arrow [literary term]	Wellish		"&gt;&gt;&ndash;&lt;3&ndash;&gt;"
0177	<32U	my heart belongs to you	Ideogrammar		"&lt;32U"
0178	≠<3U	someone hurts you	Ideogrammar		"&NotEqual;&lt;3U"
0179	:−(x)	to purse one's mouth up	Ideogrammar		"&colon;&minus;&lpar;x&rpar;"
0180	:−(0)	blubber lips	Ideogrammar		"&colon;&minus;&lpar;0&rpar;"
0181	?:−	clueless	Emoticons		"&quest;&colon;&minus;"
0182	:−)8	grown-up female (girl with breasts)	Emoticons		"&colon;&minus;&rpar;8"
0183	:−)B	grown-up male (boy with beard)	Emoticons		"&colon;&minus;&rpar;B"
0184	B−)	wearing sunglasses	Emoticons		"B&minus;&rpar;"
0185	B:−)	wearing sunglasses over the eyes	Emoticons		"B&colon;&minus;&rpar;"
0186	8−)	to be frigging blind	Emoticons		"8&minus;&rpar;"
0187	B:−(	to give sb. the dirt on sb. (idiom)	Ideogrammar		"B&colon;&minus;&lpar;"
0188	D:−)	wearing a cap	Emoticons		"D&colon;&minus;&rpar;"
0189	D−)	to tip one's cap over one's eyes	Emoticons		"D&minus;&rpar;"
0190	D−(	somebody mums	Emoticons		"D&minus;&lpar;"
0191	 =:−)	punk haircut	Emoticons		"&equals;&colon;&minus;&rpar;"
0192	 =:−(	rebel yell	Emoticons		"&equals;&colon;&minus;&lpar;"
0193	 =:−/	punked	Emoticons		"&equals;&colon;&minus;&sol;"
0194	:−?	inquisitive	Emoticons		"&colon;&minus;&quest;"
0195	:−=:−¿	sb. is questioning	Ideogrammar		"&colon;&minus;&equals;&colon;&minus;&iquest;"
0196	&:−)	to do one's hair	Emoticons		"&amp;&colon;&minus;&rpar;"
0197	≡[ABC]≡∈[.|_]	Law of Arrangement in NewMorse+ (dit, dah, doh)	Wellish		"&equiv;&lsqb;ABC&rsqb;&equiv;&Element;&lsqb;&period;amp;|&lowbar;&rsqb;"
0198	∧ ∧	irony faceless [stereotypical term]	Wellish		"&wedge; &wedge;"
0199	∧>∧	sharpen sarcastically	Wellish		"&wedge;&gt;&wedge;"
0200	∧<∧	derogatory remark	Wellish		"&wedge;&lt;&wedge;"
0201	≡[ABC]≡∈‖:§§:‖	Law of Octaves in MusicTypewriter+ [consonantal keying]	Wellish		"&equiv;&lsqb;ABC&rsqb;&equiv;&Element;&Vert;&colon;&sect;&sect;&colon;&Vert;"
0202	:−**@	sending kisses	Ideogrammar		"&colon;&minus;&ast;&ast;&commat;"
0203	<3://:−(𝕡)*	sexting [stereotypical term]	Wellish		"&lt;3&colon;&sol;&sol;&colon;&minus;&lpar;&popf;&rpar;&ast;"
0204	@[*v*]	Emil Eagle [literary character]	Wellish		"&commat;&lsqb;&ast;v&ast;&rsqb;"
0205	( | )	podex	Ideogrammar		"&lpar; &vert; &rpar"
0206	( y )	cunt (vulg.)	Ideogrammar		"&lpar; y &rpar;"
0207	p( y )q	cunt from behind (vulg.)	Ideogrammar		"p&lpar; y &rpar;q"
0208	p(:|*)q	kissass	Ideogrammar		"p&lpar;&colon;&vert;&ast;&rpar;q"
0209	:−p( y )q	eating pussy (vulg.)	Ideogrammar		"&colon;&minus;p&lpar; y &rpar;q"
0210	://<<3	Internet peeping	Wellish		"&colon;&sol;&sol;&lt;&lt;3"
0211	√>>://	grassroots movement (with square root)	Wellish		"&radic;&gt;&gt;&colon;&sol;&sol;"
0212	*≡[69]≡	born under the Zodiac sign of cancer	Ideogrammar		"&ast;&equiv;&lsqb;69&rsqb;&equiv;"
0213	(:−&≡[69]≡	to develop cancer	Ideogrammar		"&lpar;&colon;&minus;&amp;&equiv;&lsqb;69&rsqb;&equiv;"
0214	 =[69]=	to struggle	Ideogrammar		"&equals;&lsqb;69&rsqb;&equals;"
0215	<369	sixty-nine position (slang)	Wellish		"&lt;369"
0216	∈={69}	yin and yang	Wellish		"&Element;&equals;&lbrace;69&rbrace;"
0217	@−>−>−	rose	Emoticons		"&commat;&minus;&gt;&minus;&gt;&minus;"
0218	−8−8−	flower	Emoticons		"&minus;8&minus;8&minus;"
0219	@−8−8−	in a roundabout way (adv.)	Ideogrammar		"&commat;&minus;8&minus;8&minus;"
0220	 =[@−>−>−]=	thorn in one's side	Ideogrammar		"&equals;&lsqb;&commat;&minus;&gt;&minus;&gt;&minus;&rsqb;&equals;"
0221	−>−>−	weeds	Ideogrammar		"&minus;&gt;&minus;&gt;&minus;"
0222	−>>−>>−	suffix, (something spreads like) weeds	Ideogrammar		"&minus;&gt;&gt;&minus;&gt&gt;;&minus;"
0223	 =[−>>−>>−]=	spread something viral	Ideogrammar		"&equals;&lsqb;&minus;&gt;&gt;&minus;&gt&gt;;&minus;&rsqb;&equals;"
0224	<3@	from ... with love	Ideogrammar		"&lt;3&commat;"
0225	<3−>−>−	sexual offspring [stereotypical term]	Wellish		"&lt;3&minus;&gt;&minus;&gt;&minus;"
0226	://−>−>−	beget offspring in the Internet [stereotypical term, e.g. hate speech, selfies, happy slapping etc. ]	Wellish		"&colon;&sol;&sol;&minus;&gt;&minus;&gt;&minus;"
0227	≡://−>−>−	beget offspring [situational context at the subject level, e.g. citizen journalism, civil society]	Wellish		"&equiv;&colon;&sol;&sol;&minus;&gt;&minus;&gt;&minus;"
0228	≡( | )−>−>−	dumbasses [stereotypical term]	Ideogrammar		"&equiv;&lpar; &vert; &rpar;&minus;&gt;&minus;&gt;&minus;"
0229	 =$://−>−>−	guerilla tactic [economic term]	Wellish		"&equals;&dollar;&colon;&sol;&sol;&minus;&gt;&minus;&gt;&minus;"
0230	§§://−>−>−	T-Tip, eTrade, eTrust, Trims, Trips and Thieves [literary term]	Wellish		"&sect;&sect;&colon;&sol;&sol;&minus;&gt;&minus;&gt;&minus;"
0231	$://−>−>−	viral offspring by weeds [economic term, e.g. Blackberry, Apple, Rotten Tomatoes, Server or Link Farms, Potatoe Heads, premature praise etc.]	Wellish		"&dollar;&colon;&sol;&sol;&minus;&gt;&minus;&gt;&minus;"
0232	€≡−>−>−	viral offspring by weeds [economic term, e.g. cryptocurrency, corruption]	Wellish		"&euro;&equiv;&minus;&gt;&minus;&gt;&minus;"
0233	,!!!!	talk to the hand	Emoticons		"&comma;&excl;&excl;&excl;&excl;"
0234	,!!!!−>−>−	to bitchslap somebody	Ideogrammar		"&comma;&excl;&excl;&excl;&excl;&minus;&gt;&minus;&gt;&minus;"
0235	<3,!!!!−>−>−( | )	spanking	Ideogrammar		"&lt;3&comma;&excl;&excl;&excl;&excl;&minus;&gt;&minus;&gt;&minus;&lpar; &vert; &rpar;"
0236	://:−),!!!!−>−>−	happy slapping	Ideogrammar		"&colon;&sol;&sol;&colon;&minus;&rpar;&comma;&excl;&excl;&excl;&excl;&minus;&gt;&minus;&gt;&minus;"
0237	○|||||||○	Jeep (non-official)	Ideogrammar		"&cir;&vert;&vert;&vert;&vert;&vert;&vert;&vert;&cir;"
0238	(W)	fang of a vampire	Ideogrammar		"&lpar;W&rpar;"
0239	<3(W)	Vamp [stereotypical term]	Ideogrammar		"&lt;3&lpar;W&rpar;"
0240	♂<3♀	love between a man and a woman [gender term]	Wellish		"&male;&lt;3&female;"
0241	rel°	awareness/recognition of the relationship [sociological term]	Wellish		"rel&deg;"
0242	♂/♀	marriage concept of living together [gender term]	Wellish		"&male;&sol;&female;"
0243	rel[♂§§♀]°	arranged marriage [gender term]	Wellish		"&male;&cert;&cert;&female;"
0244	$=∈{§=§}	merger of equals [economic term]	Wellish		"&dollar;&equals;&Element;&lbrace;&sect;&equals;&sect;&rbrace;"
0245	≡[<3]≡	threesome	Ideogrammar		"&equiv;&lsqb;&lt;3&rsqb;&equiv;"
0246	(88)	hitlerite aggression [literary term]	Wellish		"&lpar;88&rpar"
0247	(88)²	right wing populism [literary term]	Wellish		"&lpar;88&rpar;&sup2;"
0248	:−((≡[−8−8−]≡	Krauts [literary term]	Wellish		"&colon;&minus;&lpar;&lpar;&equiv;&lsqb;&minus;8&minus;8&minus;&rsqb;&equiv;"
0249	(‐&‐)_/	normal cat	Ideogrammar		"&lpar;&hyphen;&amp;&hyphen;&rpar;&lowbar;&sol;"
0250	(‐&‐)_)	gaping cat	Ideogrammar		"&lpar;&hyphen;&amp;&hyphen;&rpar;&lowbar;&rpar"
0251	(‐x‐)R/	cat hissing angrily (with hump)	Ideogrammar		"&lpar;&hyphen;x&hyphen;&rpar;R&sol;"
0252	(‐c‐)_/	copy-cat [technical term]	Ideogrammar		"&lpar;&hyphen;c&hyphen;&rpar;&lowbar;&sol;"
0253	(‐c‐)_	limited copyright [technical term]	Ideogrammar		"&lpar;&hyphen;c&hyphen;&rpar;&lowbar;"
0254	(c)_(	pedigree cat [technical term]	Ideogrammar		"&lpar;c&rpar;&lowbar;&lpar;"
0255	(c)_/	copyright pal [technical term]	Ideogrammar		"&lpar;c&rpar;&lowbar;&sol;"
0256	AUA_)	mangily cat [technical term]	Ideogrammar		"AUA&lowbar;&rpar;"
0257	(—)_/	robot-cat [technical term]	Ideogrammar		"&lpar;&mdash;&rpar;&lowbar;&sol;"
0258	(^c^)_/	naked cat (skin-coloured)	Ideogrammar		"&lpar;&Hat;c&Hat;&rpar;&lowbar;&sol;"
0259	(‐†‐)_\	black cat	Ideogrammar		"&lpar;&hyphen;&dagger;&hyphen;&rpar;&lowbar;&bsol;"
0260	(cc)_/	creative copy-cat [technical term]	Ideogrammar		"&lpar;cc&rpar;&lowbar;&sol;"
0261	(cc)_	docked copy-cat [technical term]	Ideogrammar		"&lpar;cc&rpar;&lowbar;"
0262	c)C(c_/	censored copy-cat [technical term]	Ideogrammar		"c&rpar;C&lpar;c&lowbar;&sol;"
0263	c)Z(c_/	to veil a copy-cat with a mask [technical term]	Ideogrammar		"c&rpar;Z&lpar;c&lowbar;&sol;"
0264	(^Z^)_\\	small-eared zorro	Ideogrammar		"&lpar;&Hat;Z&Hat;&rpar;&lowbar;&bsol;&bsol;"
0265	(^T^)_)	cat purring	Ideogrammar		"&lpar;&Hat;T&Hat;&rpar;&lowbar;&rpar;"
0266	(^T^)_/	copy-cat purring [situational context at the subject level, e.g. tariff, eTrade]	Ideogrammar		"&lpar;&Hat;T&Hat;&rpar;&lowbar;&sol;"
0267	(‐L‐)_/	cat napping	Ideogrammar		"&lpar;&hyphen;L&hyphen;&rpar;&lowbar;&sol;"
0268	(cLc)_	stagnant copy-cat [technical term]	Ideogrammar		"&lpar;cLc&rpar;&lowbar;"
0269	(‐c‐)=c	Holy catfish!	Ideogrammar		"&lpar;&hyphen;c&hyphen;&rpar;&equals;c"
0270	(‐>T<‐)	purr of a machine	Ideogrammar		"&lpar;&hyphen;&gt;T&lt;&hyphen;&rpar"
0271	_\\(‐&‐)_///_	wildcat hiding in the bushes	Ideogrammar		"&lowbar;&bsol;&bsol;&lpar;&hyphen;&amp;&hyphen;&rpar;&lowbar;&sol;&sol;&sol;&lowbar;"
0272	(^x^)q=p)	to mind one's Ps and Qs (idiom.)	Ideogrammar		"&lpar;&Hat;x&Hat;&rpar;q&equals;p&rpar;"
0273	(^x^)_)	wildcat	Ideogrammar		"&lpar;&Hat;x&Hat;&rpar;&lowbar;&rpar;"
0274	/_(‐#‐)_\	cat-like	Ideogrammar		"&sol;&lowbar;&lpar;&hyphen;&num;&hyphen;&rpar;&lowbar;&bsol"
0275	(‐#‐)_//_(‐#‐)	cat-transmitted	Ideogrammar		"&lpar;&hyphen;&num;&hyphen;&rpar;&lowbar;&sol;&sol;&lowbar;&lpar;&hyphen;&num;&hyphen;&rpar;"
